"sport","threshold_percent","qualifying_hedges","trade_count","total_pnl","pnl_per_hedge","return_on_stake","max_drawdown"
"lol_worlds_2025","93","0","0","0","","","0"
"lol_worlds_2025","94","0","0","0","","","0"
"lol_worlds_2025","95","0","0","0","","","0"
"lol_worlds_2025","96","0","0","0","","","0"
"lol_worlds_2025","97","0","0","0","","","0"
"lol_worlds_2025","98","0","0","0","","","0"
"lol_worlds_2025","99","0","0","0","","","0"
"lol_worlds_2025","100","0","0","0","","","0"
"mlb","0","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","1","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","2","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","3","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","4","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","5","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","6","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","7","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","8","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","9","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","10","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","11","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","12","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","13","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","14","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","15","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","16","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","17","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","18","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","19","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","20","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","21","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","22","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","23","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","24","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","25","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","26","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","27","18","72","-0.443102","-0.024617","-0.000246","0.005813"
"mlb","28","17","68","-0.393102","-0.023124","-0.000231","0.005813"
"mlb","29","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","30","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","31","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","32","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","33","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","34","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","35","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","36","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","37","16","64","-0.343102","-0.021444","-0.000214","0.005785"
"mlb","38","15","60","-0.293102","-0.019540","-0.000195","0.005785"
"mlb","39","15","60","-0.293102","-0.019540","-0.000195","0.005785"
"mlb","40","15","60","-0.293102","-0.019540","-0.000195","0.005785"
"mlb","41","14","56","-0.243102","-0.017364","-0.000174","0.005785"
"mlb","42","13","52","-3.52744","-0.271342","-0.002713","0.005796"
"mlb","43","12","48","-3.47744","-0.289787","-0.002898","0.005795"
"mlb","44","12","48","-3.47744","-0.289787","-0.002898","0.005795"
"mlb","45","12","48","-3.47744","-0.289787","-0.002898","0.005795"
"mlb","46","10","40","-3.37744","-0.337744","-0.003377","0.005795"
"mlb","47","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","48","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","49","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","50","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","51","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","52","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","53","9","36","-3.32744","-0.369716","-0.003697","0.005795"
"mlb","54","8","32","-5.525103","-0.690638","-0.006906","0.005802"
"mlb","55","6","24","-6.904461","-1.150744","-0.011507","0.005806"
"mlb","56","6","24","-6.904461","-1.150744","-0.011507","0.005806"
"mlb","57","6","24","-6.904461","-1.150744","-0.011507","0.005806"
"mlb","58","6","24","-6.904461","-1.150744","-0.011507","0.005806"
"mlb","59","4","16","-5.285496","-1.321374","-0.013214","0.005801"
"mlb","60","3","12","-12.290117","-4.096706","-0.040967","0.00716"
"mlb","61","3","12","-12.290117","-4.096706","-0.040967","0.00716"
"mlb","62","3","12","-12.290117","-4.096706","-0.040967","0.00716"
"mlb","63","3","12","-12.290117","-4.096706","-0.040967","0.00716"
"mlb","64","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","65","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","66","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","67","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","68","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","69","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","70","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","71","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","72","2","8","-9.869482","-4.934741","-0.049347","0.005816"
"mlb","73","1","4","0.60274","0.602740","0.006027","0"
"mlb","74","0","0","0","","","0"
"mlb","75","0","0","0","","","0"
"mlb","76","0","0","0","","","0"
"mlb","77","0","0","0","","","0"
"mlb","78","0","0","0","","","0"
"mlb","79","0","0","0","","","0"
"mlb","80","0","0","0","","","0"
"mlb","81","0","0","0","","","0"
"mlb","82","0","0","0","","","0"
"mlb","83","0","0","0","","","0"
"mlb","84","0","0","0","","","0"
"mlb","85","0","0","0","","","0"
"mlb","86","0","0","0","","","0"
"mlb","87","0","0","0","","","0"
"mlb","88","0","0","0","","","0"
"mlb","89","0","0","0","","","0"
"mlb","90","0","0","0","","","0"
"mlb","91","0","0","0","","","0"
"mlb","92","0","0","0","","","0"
"mlb","93","0","0","0","","","0"
"mlb","94","0","0","0","","","0"
"mlb","95","0","0","0","","","0"
"mlb","96","0","0","0","","","0"
"mlb","97","0","0","0","","","0"
"mlb","98","0","0","0","","","0"
"mlb","99","0","0","0","","","0"
"mlb","100","0","0","0","","","0"
"nba","0","28","112","13.779258","0.492116","0.004921","0.00199"
"nba","1","28","112","13.779258","0.492116","0.004921","0.00199"
"nba","2","28","112","13.779258","0.492116","0.004921","0.00199"
"nba","3","27","108","13.829258","0.512195","0.005122","0.001972"
"nba","4","27","108","13.829258","0.512195","0.005122","0.001972"
"nba","5","27","108","13.829258","0.512195","0.005122","0.001972"
"nba","6","27","108","13.829258","0.512195","0.005122","0.001972"
"nba","7","25","100","14.771566","0.590863","0.005909","0.001972"
"nba","8","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","9","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","10","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","11","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","12","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","13","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","14","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","15","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","16","24","96","14.821566","0.617565","0.006176","0.001954"
"nba","17","23","92","14.871566","0.646590","0.006466","0.001954"
"nba","18","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","19","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","20","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","21","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","22","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","23","22","88","14.921566","0.678253","0.006783","0.001954"
"nba","24","21","84","14.971566","0.712932","0.007129","0.001936"
"nba","25","20","80","11.93177","0.596589","0.005966","0.001954"
"nba","26","20","80","11.93177","0.596589","0.005966","0.001954"
"nba","27","20","80","11.93177","0.596589","0.005966","0.001954"
"nba","28","18","72","8.620659","0.478925","0.004789","0.00204"
"nba","29","18","72","8.620659","0.478925","0.004789","0.00204"
"nba","30","17","68","8.670659","0.510039","0.005100","0.00204"
"nba","31","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","32","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","33","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","34","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","35","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","36","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","37","16","64","0.561643","0.035103","0.000351","0.00204"
"nba","38","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","39","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","40","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","41","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","42","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","43","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","44","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","45","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","46","15","60","0.611643","0.040776","0.000408","0.00204"
"nba","47","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","48","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","49","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","50","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","51","14","56","-4.040508","-0.288608","-0.002886","0.00204"
"nba","52","14","56","-4.040508","-0.288608","-0.002886","0.00204"
